Price,Close,High,Low,Open,Volume
2015-07-01,174.91714477539062,175.36392006796436,174.12474697716087,175.1110252379047,135979900
2015-07-02,174.75692749023438,175.56618814172808,174.33544051529762,175.3975959243057,104373700
2015-07-06,174.25958251953125,175.04354214835712,173.2564414233038,173.45875980949862,117975400
2015-07-07,175.35546875,175.4819097147507,172.05943706602133,174.46191829839245,173820200
2015-07-08,172.41346740722656,174.2932957843987,172.17743572142746,174.00668771775156,164020100
2015-07-09,172.72540283203125,174.7906998452496,172.61582493626628,174.5293670470037,144113100
2015-07-10,174.90023803710938,175.3217250277559,172.76751489345892,174.74007092262175,129456900
2015-07-13,176.8306427001953,176.94022056305585,176.13097280345875,176.17312407198722,106069400
2015-07-14,177.5977783203125,177.9096874859352,176.7295160209243,176.78853038241868,81709600
2015-07-15,177.53878784179688,178.1035789838417,177.05828639785088,177.63994062462135,97914100
2015-07-16,178.96336364746094,178.96336364746094,178.3564214033014,178.6008781775618,106683300
2015-07-17,179.11514282226562,179.17415718657372,178.5419265774911,178.95497567658902,89030000
2015-07-20,179.20785522460938,179.70520684098412,178.88753382331157,179.34273416345243,70446800
2015-07-21,178.499755859375,179.33430480307854,178.19628468555217,179.07297204172738,77965000
2015-07-22,178.17938232421875,178.51657958900148,177.7747584692399,177.80847176433798,88667900
2015-07-23,177.17626953125,178.41544234296634,176.81379688458756,178.3142895788303,90509100
2015-07-24,175.3385772705078,177.33642136659293,175.0013928439383,177.2774198801859,117755000
2015-07-27,174.31861877441406,174.95928736042006,173.87184350404922,174.44507261454063,132361100
2015-07-28,176.45974731445312,176.6030513495824,174.32702414340517,175.16156016343817,123544800
2015-07-29,177.6736297607422,177.90122347465888,176.44288208759366,176.58618612098044,105791300
2015-07-30,177.71578979492188,177.88438202705655,176.5356184444537,177.159423852391,91304400
2015-07-31,177.44602966308594,178.2468524025521,177.15942158584755,178.22156421119357,103266900
2015-08-03,176.8474884033203,177.47129371843957,175.8864986741025,177.41229223421473,113965700
2015-08-04,176.5018768310547,177.23525999772042,176.01295043235726,176.77162178664867,81820800
2015-08-05,177.0835418701172,178.12882132425926,176.7969209546239,177.40386322085675,85786800
2015-08-06,175.6336212158203,177.3785705399821,175.0435291821532,177.26897981439913,116030800
2015-08-07,175.29640197753906,175.62516125035512,174.38598871525772,175.47343213802137,117858000
2015-08-10,177.5050811767578,177.58937087801044,176.4176372696467,176.4176372696467,80270700
