Price,Price,Log_Return,Simple_Return,Lag1_Return,Lag2_Return,Lag5_Return,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_PctB,Rolling_Vol_20D
2016-04-15,16.96733283996582,0.010466726443964266,0.010521694235412493,-0.010545300037645535,0.026715974419241527,-0.02811316237550365,16.146866703033446,13.822426643371582,15.161173305511475,16.543401642634358,15.7331048511269,66.95092243299362,0.8102967915074579,0.8542718906014379,-0.04397509909398001,17.81479949653076,14.478933909536131,0.7459529964669693,0.4082685976520297
2016-04-18,16.92533302307129,-0.0024784027649427595,-0.002475334060495493,0.010466726443964266,-0.010545300037645535,-0.000600025756279789,16.217333364486695,13.927159957885742,15.156083307266236,16.60216031654773,15.821418049048706,66.4861861182568,0.7807422674990256,0.8395659659809555,-0.05882369848192981,17.892112521284666,14.542554207688724,0.7113710502399094,0.40083391867115686
2016-04-19,16.4913330078125,-0.025976524355888778,-0.02564203697895895,-0.0024784027649427595,0.010466726443964266,-0.008438153646491461,16.247500038146974,14.040186614990235,15.145199975967408,16.585109961357695,15.871041379327504,63.59893165669013,0.7140685820301904,0.8144664891908026,-0.10039790716061214,17.91903379857926,14.575966277714688,0.5729368964711986,0.4077546566636001
2016-04-20,16.6646671295166,0.010455766684840656,0.010510619221744344,-0.025976524355888778,-0.0024784027649427595,0.026715974419241527,16.299933385849,14.176159954071045,15.135283308029175,16.597349525689836,15.929828471934105,63.46308043488912,0.6675210537557312,0.7850774021037884,-0.11755634834805717,17.95375641907276,14.646110352625234,0.6102698826719798,0.4023416129166105
2016-04-21,16.55266761779785,-0.006743463134253233,-0.006720777009723511,0.010455766684840656,-0.025976524355888778,-0.010545300037645535,16.385633420944213,14.309546642303467,15.128753309249879,16.59047538601415,15.975964704961049,57.76714816963935,0.6145106810530994,0.7509640578936506,-0.13645337684055125,17.89166029183598,14.879606550052445,0.5554552511917443,0.3504013481340788
2016-04-22,16.916667938232422,0.021752130220696962,0.021990432529629622,-0.006743463134253233,0.010455766684840656,0.010466726443964266,16.472300148010255,14.456319999694824,15.128349981307984,16.64065885558619,16.045646425944113,55.20482258930011,0.5950124296420753,0.7197737322433356,-0.12476130260126028,17.883518757240868,15.061081538779643,0.6574411601844001,0.34962559647940605
2016-04-25,16.788000106811523,-0.007635052586515022,-0.007605979610801672,0.021752130220696962,-0.006743463134253233,-0.0024784027649427595,16.544166803359985,14.591453342437744,15.12631664276123,16.663326740390087,16.100635587489847,46.874459485349206,0.5626911529002392,0.6883572163747164,-0.12566606347447717,17.85790911136668,15.230424495353292,0.5928010394296804,0.3519299801409003
2016-04-26,16.916000366210938,0.007595589425314437,0.007624509088934195,-0.007635052586515022,0.021752130220696962,-0.025976524355888778,16.622866821289062,14.728386688232423,15.124513311386108,16.702199605900987,16.161032978506224,38.40348594769942,0.5411666273947624,0.6589190985787255,-0.11775247118396315,17.816472229377617,15.429261413200507,0.6227933213671095,0.3515718646298442
2016-04-27,16.764667510986328,-0.008986393867576518,-0.008946136908751234,0.007595589425314437,-0.007635052586515022,0.010455766684840656,16.704800176620484,14.856786689758302,15.120949983596802,16.711810052837194,16.205746647578824,43.54875077468591,0.5060634052583701,0.6283479599146545,-0.1222845546562844,17.66862291143406,15.74097744180691,0.5310572329347589,0.3483056809737918
2016-04-28,16.513999938964844,-0.015065045092183262,-0.014952135009967504,-0.008986393867576518,0.007595589425314437,-0.006743463134253233,16.76460018157959,14.962160034179687,15.114969987869262,16.681377727626064,16.228580224718527,47.1247556558184,0.4527975029075364,0.5932378685132309,-0.1404403656056945,17.4834005710086,16.04579979215058,0.3256816173862866,0.35423829373764
2016-04-29,16.05066680908203,-0.028458107849049553,-0.028056989923414988,-0.015065045092183262,-0.008986393867576518,0.021752130220696962,16.77516689300537,15.060813369750976,15.107509984970093,16.58434527861929,16.215401453189898,40.42642643001825,0.3689438254293904,0.5483790598964629,-0.17943523446707244,17.440954771083444,16.109379014927296,-0.04409227606752802,0.3535561552397538
2016-05-02,16.1200008392334,0.004310394689883249,0.004319697802968259,-0.028458107849049553,-0.015065045092183262,-0.007635052586515022,16.757866954803468,15.161106719970704,15.099216651916503,16.51290767255992,16.208334741044972,43.56563593218681,0.30457293151494724,0.49961783422015976,-0.19504490270521252,17.473588380479768,16.04214552912717,0.05438939461164165,0.32418742572262954
2016-05-03,15.48799991607666,-0.03999526402448902,-0.03920601056164674,0.004310394689883249,-0.028458107849049553,0.007595589425314437,16.680700254440307,15.233880062103271,15.085103316307068,16.35522955617788,16.15497660586213,27.58832137777047,0.20025295031574686,0.4397448574392772,-0.23949190712353036,17.581215384952085,15.78018512392853,-0.16223225904367383,0.3248306364271794
