Price,Price,Log_Return,Simple_Return,Lag1_Return,Lag2_Return,Lag5_Return,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_PctB,Rolling_Vol_20D
2016-04-15,178.02505493164062,-0.0011063513958718093,-0.0011057396148019816,4.8032119369966104e-05,0.010050591851099612,0.0026932810521771043,175.8916259765625,170.03676025390624,170.96297554016112,176.47515369993283,174.63641592017035,63.0759982190963,1.8387377797624822,1.924570784476002,-0.08583300471351984,178.5877766342864,173.1954753188386,0.89564349806757,0.10120718875466796
2016-04-18,179.27597045898438,0.007002054566599366,0.007026626267994107,-0.0011063513958718093,4.8032119369966104e-05,-0.002349906250758607,176.09982681274414,170.3558840942383,170.9847696685791,176.90604858594077,174.98008662674917,62.16062783521954,1.9259619591915964,1.924849019419121,0.0011129397724753964,179.16088207494545,173.03877155054283,1.0187988086102313,0.10295367338417
2016-04-19,179.84144592285156,0.003149253728323004,0.003154217837557649,0.007002054566599366,-0.0011063513958718093,0.009269468022792982,176.32387924194336,170.74854248046876,171.0101922607422,177.35764817623473,175.34018731534934,61.616678663787354,2.017460860885393,1.9433713877123755,0.0740894731730175,179.78666636275773,172.861092121129,1.0079097498897003,0.10319100052151736
2016-04-20,180.01280212402344,0.0009523645478887527,0.0009528181910045674,0.003149253728323004,0.007002054566599366,0.010050591851099612,176.56121215820312,171.1877606201172,171.03895835876466,177.76613339897145,175.68630693080667,63.96334371833867,2.0798264681647822,1.970662403802857,0.10916406436192516,180.35371332036857,172.76871099603767,0.9550545692976824,0.10298175629616639
2016-04-21,179.0446014404297,-0.005393026411019251,-0.005378510151331839,0.0009523645478887527,0.003149253728323004,4.8032119369966104e-05,176.80796737670897,171.60744415283204,171.0574040222168,177.96282078996504,175.93506948707505,56.35445430646812,2.027751302889982,1.9820801836202822,0.04567111926969969,180.57089210025396,173.045042653164,0.7971935699013428,0.1018086323849147
2016-04-22,179.0446014404297,0.0,0.0,-0.005393026411019251,0.0009523645478887527,-0.0011063513958718093,177.05857772827147,172.02985443115233,171.0905596923828,178.12924858234422,176.16540518732356,58.79656721575856,1.9638433950206604,1.9784328259003578,-0.01458943087969744,180.7091213771076,173.40803407943534,0.7720175271416626,0.10171452743940687
2016-04-25,178.73626708984375,-0.0017235937079878932,-0.0017221091733867766,0.0,-0.005393026411019251,0.007002054566599366,177.28863143920898,172.48718444824217,171.12061401367188,178.22263604503644,176.35583940232505,66.06150656262417,1.8667966427113925,1.956105589262565,-0.0893089465511725,180.73783259156477,173.8394302868532,0.709850859183153,0.102294755679682
2016-04-26,179.0017852783203,0.0014844282595898066,0.001485530568584137,-0.0017235937079878932,0.0,0.003149253728323004,177.451424407959,172.8855535888672,171.14112174987793,178.34250515784936,176.5518353931395,60.55756696955704,1.790669764709861,1.9230184243520243,-0.13234865964216325,180.90138613138419,174.0014626845338,0.7246924740982471,0.0979623739913984
2016-04-27,179.37022399902344,0.002056180957076698,0.002058296346767019,0.0014844282595898066,-0.0017235937079878932,0.0009523645478887527,177.59408111572264,173.23758972167968,171.15381965637206,178.50061574879922,176.76060491950128,77.55170652898855,1.740010829297944,1.8864169053412083,-0.1464060760432644,181.1165626739909,174.0715995574544,0.7521152849092547,0.09721835356927876
2016-04-28,177.74232482910156,-0.009117072202024944,-0.009075637715269536,0.002056180957076698,0.0014844282595898066,-0.005393026411019251,177.67676315307617,173.50421936035156,171.154542388916,178.38395560730729,176.83332491280498,63.229031897391664,1.5506306945023027,1.8192596631734272,-0.2686289686711245,181.12736011571153,174.2261661904408,0.5095000483590706,0.10289848516930483
